Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.ORDRG08.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	pass	49.304915308	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2044348.0	pass	fail	warn	46.0	74.0294469136	SLX-11165.ORDRG08.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG08.HFMVTBBXX.s_2.r_1	pass	0.0	pass	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2084491.0	pass	pass	warn	45.0	73.8530066299	SLX-11165.ORDRG08.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG08.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	pass	49.3102691296	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2084052.0	pass	fail	warn	46.0	74.0196334533	SLX-11165.ORDRG08.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG08.HFN3MBBXX.s_5.r_1	pass	0.0	pass	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2250833.0	pass	pass	warn	45.0	74.1230722326	SLX-11165.ORDRG08.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG08.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	pass	49.3162744255	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2250359.0	pass	fail	warn	45.0	74.2387392687	SLX-11165.ORDRG08.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1	pass	0.0	pass	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2322855.0	pass	pass	warn	45.0	73.86593191	SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	pass	49.3229113695	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2322371.0	pass	fail	warn	45.0	73.9854041542	SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG08.HFN3MBBXX.s_7.r_1	pass	0.0	pass	50.0	Sanger / Illumina 1.9	warn	pass	pass	50.0	Conventional base calls	pass	pass	2247785.0	pass	pass	warn	45.0	74.0426348985	SLX-11165.ORDRG08.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG08.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	pass	49.3169028436	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2247326.0	pass	fail	warn	45.0	74.1764788336	SLX-11165.ORDRG08.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG09.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	warn	pass	pass	50.0	Conventional base calls	pass	warn	189273.0	pass	pass	warn	41.0	52.8708892884	SLX-11165.ORDRG09.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRG09.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3621354811	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	189222.0	pass	fail	warn	42.0	53.0394242024	SLX-11165.ORDRG09.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG09.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	warn	pass	pass	50.0	Conventional base calls	pass	warn	191451.0	pass	pass	warn	41.0	52.0540503836	SLX-11165.ORDRG09.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG09.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3749595076	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	pass	191394.0	pass	fail	warn	42.0	52.3201364509	SLX-11165.ORDRG09.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG09.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	208750.0	pass	pass	warn	41.0	50.1138105387	SLX-11165.ORDRG09.HFN3MBBXX.s_5.r_1.fq.gz	warn	pass
SLX-11165.ORDRG09.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3630639179	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	208674.0	pass	fail	warn	41.0	50.2819331611	SLX-11165.ORDRG09.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG09.HFN3MBBXX.s_6.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	215377.0	pass	pass	warn	41.0	49.3885158177	SLX-11165.ORDRG09.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG09.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	fail	49.3797457773	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	215323.0	pass	fail	warn	41.0	49.5541627095	SLX-11165.ORDRG09.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG09.HFN3MBBXX.s_7.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	209043.0	pass	pass	warn	41.0	49.879514511	SLX-11165.ORDRG09.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG09.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.368672635	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	pass	208993.0	pass	fail	warn	41.0	50.051347663	SLX-11165.ORDRG09.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG10.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2831722.0	pass	pass	warn	47.0	56.7298686446	SLX-11165.ORDRG10.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
