Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRC12.HFMVTBBXX.s_2.r_1_screen	22145	22.31	94705	95.39	38472	38.76	2	0.0	53	0.05	0	0.0
SLX-11165.ORDRC12.HFN3MBBXX.s_5.r_1_screen	22329	22.19	95810	95.19	38543	38.3	4	0.0	79	0.08	0	0.0
SLX-11165.ORDRC12.HFN3MBBXX.s_6.r_1_screen	21850	21.9	94984	95.2	37890	37.98	1	0.0	71	0.07	0	0.0
SLX-11165.ORDRC12.HFN3MBBXX.s_7.r_1_screen	22136	22.1	95593	95.47	38545	38.49	1	0.0	83	0.08	0	0.0
SLX-11165.ORDRD04.HFMVTBBXX.s_1.r_1_screen	17508	17.29	96582	95.36	35075	34.62	9	0.01	52	0.05	0	0.0
SLX-11165.ORDRD04.HFMVTBBXX.s_2.r_1_screen	17365	17.27	96023	95.47	34866	34.66	6	0.01	52	0.05	0	0.0
SLX-11165.ORDRD04.HFN3MBBXX.s_5.r_1_screen	17534	17.41	96057	95.38	35093	34.84	2	0.0	53	0.05	0	0.0
SLX-11165.ORDRD04.HFN3MBBXX.s_6.r_1_screen	16916	16.72	96489	95.4	34416	34.02	3	0.0	47	0.05	0	0.0
SLX-11165.ORDRD04.HFN3MBBXX.s_7.r_1_screen	17647	17.45	96652	95.6	35147	34.77	1	0.0	48	0.05	0	0.0
SLX-11165.ORDRD05.HFMVTBBXX.s_1.r_1_screen	16011	15.78	96524	95.12	32862	32.38	4	0.0	70	0.07	0	0.0
SLX-11165.ORDRD05.HFMVTBBXX.s_2.r_1_screen	16061	15.56	98362	95.34	33410	32.38	4	0.0	54	0.05	0	0.0
SLX-11165.ORDRD05.HFN3MBBXX.s_5.r_1_screen	15840	15.49	97390	95.29	32658	31.95	2	0.0	71	0.07	0	0.0
SLX-11165.ORDRD05.HFN3MBBXX.s_6.r_1_screen	15168	15.48	93371	95.34	31050	31.7	3	0.0	63	0.06	0	0.0
SLX-11165.ORDRD05.HFN3MBBXX.s_7.r_1_screen	16217	15.8	98010	95.46	33071	32.21	3	0.0	64	0.06	0	0.0
SLX-11165.ORDRD06.HFMVTBBXX.s_1.r_1_screen	34872	34.51	94030	93.07	49483	48.98	3	0.0	74	0.07	0	0.0
SLX-11165.ORDRD06.HFMVTBBXX.s_2.r_1_screen	34205	34.7	91829	93.18	48625	49.35	4	0.0	56	0.06	0	0.0
SLX-11165.ORDRD06.HFN3MBBXX.s_5.r_1_screen	34834	34.3	94818	93.37	49485	48.73	4	0.0	86	0.08	0	0.0
SLX-11165.ORDRD06.HFN3MBBXX.s_6.r_1_screen	33690	33.67	93251	93.19	48195	48.17	7	0.01	73	0.07	0	0.0
SLX-11165.ORDRD06.HFN3MBBXX.s_7.r_1_screen	34664	34.23	94553	93.37	49521	48.9	3	0.0	81	0.08	0	0.0
SLX-11165.ORDRD07.HFMVTBBXX.s_1.r_1_screen	18749	19.09	89196	90.81	30427	30.97	317	0.32	55	0.06	0	0.0
SLX-11165.ORDRD07.HFMVTBBXX.s_2.r_1_screen	18835	18.8	91010	90.85	30586	30.53	296	0.3	51	0.05	0	0.0
SLX-11165.ORDRD07.HFN3MBBXX.s_5.r_1_screen	18493	18.69	89792	90.78	30310	30.65	305	0.31	78	0.08	0	0.0
